SampleId,RunId,Well,Type,TargetName,Result,VoltageDifference,Readings,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
LOD_R15,118,2,Target,GeneN_1,NotAmplified,15.8,177.0629883,164.6347046,145.2941895,131.8359375,118.9956665,107.8948975,99.3347168,92.58270264,87.50152588,83.74786377,80.47485352,77.75115967,75.55389404,73.72283936,71.9833374,70.47271729,68.98498535,67.29125977,65.25421143,63.1942749,61.08856201,59.46350098,57.99865723,56.64825439,55.5267334,54.5425415,53.87878418,53.23791504,52.71148682,52.29949951,52.02484131,51.79595947,51.45263672,51.24664307,51.17797852,51.0635376,50.85754395,50.78887939,50.78887939,50.72021484,50.88043213,50.88043213,50.99487305,51.0635376,51.24664307,51.26953125,51.17797852,51.26953125,51.38397217,51.42974854,51.84173584,51.72729492,52.07061768,52.00195313,52.27661133,51.45263672,52.71148682,52.64282227,52.55126953,52.64282227,52.61993408,52.82592773,52.84881592,52.89459229,53.05480957,53.07769775,53.03192139,53.53546143,53.78723145,54.01611328,54.15344238,54.95452881,54.97741699,54.97741699,54.95452881,55.11474609,55.22918701,55.29785156,55.41229248,55.59539795,55.6640625,55.8013916,55.82427979,56.03027344,56.21337891,56.41937256,56.51092529,56.64825439,57.0602417,57.83843994,57.97576904,58.09020996,58.11309814,58.22753906,58.34197998,58.61663818,58.7310791,58.8684082,59.28039551,59.69238281,60.49346924,60.74523926,61.31744385,61.56921387,61.84387207,62.11853027,62.6449585,62.89672852,63.24005127,63.58337402,63.94958496,64.29290771,64.56756592,64.8651123,65.16265869,65.50598145,65.78063965,66.03240967,66.32995605,66.83349609,67.1081543,67.35992432,67.6574707,67.86346436,68.32122803,68.5043335,68.7789917,69.00787354,69.25964355,69.44274902,69.87762451,70.12939453,70.24383545,70.49560547,70.70159912,70.95336914,71.18225098,71.47979736,71.66290283,71.93756104,72.21221924,72.44110107,72.69287109,72.89886475,73.15063477,73.33374023,73.5168457,73.79150391,73.95172119,74.15771484,74.3637085,74.54681396,74.82147217,74.98168945,75.00457764,75.27923584,75.46234131,75.57678223,75.73699951,75.94299316,76.10321045,76.3092041,76.37786865,76.5838623,76.60675049,77.04162598,76.83563232,76.88140869,77.04162598,77.17895508,77.38494873,77.77404785,77.81982422,77.95715332,77.95715332,78.18603516,78.18603516,78.27758789,78.43780518,78.73535156,,,,
LOD_R15,118,3,Target,GeneN_2,NotAmplified,27.5,261.2457275,235.4278564,215.8126831,194.8013306,176.8112183,162.4603271,152.2750854,145.4315186,140.2359009,135.5667114,131.8817139,128.5171509,125.8163452,123.6419678,121.9482422,120.4833984,118.9956665,117.805481,116.6381836,115.3564453,114.2578125,113.1134033,111.7401123,110.0921631,108.2611084,106.7504883,105.2856445,103.8894653,102.722168,101.4862061,100.5477905,99.67803955,99.06005859,98.39630127,98.05297852,97.38922119,97.13745117,96.83990479,96.6796875,96.45080566,96.6796875,97.02301025,96.86279297,96.86279297,96.83990479,96.70257568,96.90856934,97.04589844,97.02301025,96.97723389,97.02301025,97.02301025,97.06878662,96.97723389,96.97723389,97.48077393,97.54943848,97.96142578,98.09875488,98.19030762,98.39630127,98.64807129,99.06005859,99.42626953,99.70092773,99.81536865,100.0213623,100.1586914,100.2502441,100.7995605,101.6235352,101.8981934,102.4475098,104.0725708,104.4158936,104.9194336,105.3085327,105.5603027,105.8120728,106.1325073,106.5216064,106.8649292,107.0709229,107.460022,107.8720093,108.3526611,108.9935303,109.1995239,109.5199585,109.8861694,110.2752686,110.5041504,111.0076904,111.2823486,111.7630005,112.0834351,112.6098633,112.9989624,113.4567261,113.8916016,114.9902344,115.4937744,116.1117554,116.6381836,117.5537109,118.1945801,118.8583374,119.4763184,120.2316284,121.0098267,121.7422485,122.3144531,123.0239868,123.6877441,124.4430542,125.038147,125.7247925,126.3427734,127.0751953,127.4642944,127.9907227,128.5858154,129.1351318,129.524231,129.9819946,130.3710938,130.897522,131.3552856,131.6299438,132.019043,132.2937012,132.2937012,132.5683594,132.774353,132.9116821,132.9345703,133.0490112,133.2092285,133.2092285,133.392334,133.392334,133.6212158,133.7814331,133.8272095,133.9416504,134.0103149,134.0789795,134.1705322,134.2163086,134.513855,134.6054077,134.4451904,134.9945068,135.0860596,135.2005005,135.269165,135.3607178,135.4293823,135.4064941,135.5667114,135.5895996,135.6124878,135.7498169,135.8642578,135.8642578,135.9786987,136.0931396,136.2304688,136.3220215,136.390686,136.4593506,136.5966797,136.6882324,136.8026733,136.8484497,137.4435425,137.1459961,137.2146606,137.2146606,137.3977661,,,,
LOD_R15,118,4,Target,GeneM_1,NotAmplified,58.7,502.5558472,439.7277832,382.7590942,334.7625732,296.5393066,265.9606934,242.8436279,225.4257202,211.3494873,200.1342773,192.1691895,178.7338257,171.7529297,166.7861938,163.0096436,164.8635864,161.7507935,159.1415405,155.6396484,152.5268555,149.2080688,144.9279785,140.9225464,137.3291016,133.9645386,131.0806274,128.8604736,127.1896362,125.8621216,124.420166,123.4588623,122.4517822,121.8109131,121.2387085,120.8496094,120.2545166,120.0256348,120.2087402,120.2316284,120.8724976,120.552063,120.5062866,120.4376221,120.6893921,120.7122803,121.0098267,121.2387085,121.4675903,121.7422485,121.7422485,122.1084595,122.4975586,122.6806641,122.7264404,123.4588623,124.2141724,124.3515015,124.7634888,125.4959106,125.4959106,125.9994507,126.3198853,126.8234253,128.1738281,128.8146973,129.3411255,129.9362183,130.4397583,130.6686401,131.1950684,131.7214966,131.8817139,132.270813,133.0032349,133.644104,134.147644,135.6124878,135.9558105,136.3677979,137.260437,137.6953125,138.1759644,138.7481689,139.1372681,139.8696899,140.4190063,141.0827637,141.7236328,142.3187256,142.9367065,143.6004639,144.4015503,145.2255249,145.7061768,146.5988159,147.5601196,148.5671997,149.7116089,150.8560181,151.8859863,152.7786255,154.2663574,155.0445557,156.1431885,157.9055786,158.7295532,159.8510742,161.1328125,162.0941162,175.0717163,175.8956909,176.9485474,178.2302856,179.4891357,180.5648804,181.6635132,182.8308105,183.9752197,185.0738525,186.3098145,187.2253418,188.3468628,189.239502,190.1321411,191.0705566,192.0089722,192.8329468,193.5882568,194.3435669,194.7784424,195.350647,195.9457397,196.1975098,196.5866089,197.0672607,197.3876953,197.593689,197.6623535,197.7539063,197.8225708,197.8912354,198.4176636,198.96698,199.2645264,199.4476318,199.6307373,199.8825073,199.9053955,199.9740601,200.1113892,200.340271,200.3173828,200.4776001,200.4318237,200.8895874,200.9353638,200.843811,200.9353638,201.0726929,200.9124756,201.0269165,201.1642456,201.3931274,201.5075684,201.5991211,201.5991211,201.5991211,201.7822266,201.7593384,201.8508911,201.965332,202.0111084,202.1484375,202.2628784,202.2857666,202.4688721,202.5375366,202.4688721,202.4002075,202.8121948,,,,
LOD_R15,118,5,Target,GeneM_2,NotAmplified,23.3,309.173584,272.9187012,242.8665161,217.0028687,195.9686279,180.9768677,167.0379639,157.7682495,151.3824463,146.736145,143.9437866,140.7852173,138.6566162,136.2533569,134.4223022,132.7514648,130.6228638,127.4185181,123.298645,119.1329956,115.3564453,112.1063232,109.6572876,107.5057983,105.8807373,104.3243408,103.1341553,102.2415161,101.3946533,100.7537842,100.112915,99.72381592,99.38049316,98.99139404,98.71673584,98.2131958,97.86987305,97.66387939,97.73254395,97.82409668,97.82409668,97.43499756,97.57232666,97.59521484,97.70965576,98.0758667,97.96142578,97.77832031,98.16741943,98.69384766,98.85406494,98.87695313,99.03717041,98.96850586,99.35760498,100.1358032,100.2044678,100.5706787,101.3259888,101.4862061,101.7837524,101.9210815,101.8753052,102.3101807,102.4017334,102.9968262,103.2028198,103.729248,103.7750244,104.1412354,104.8965454,104.9194336,105.1254272,105.4458618,105.5145264,105.72052,105.9951782,106.1553955,107.0022583,107.4371338,107.6202393,107.963562,108.1695557,108.4442139,108.7875366,109.0621948,109.1537476,110.824585,111.0076904,111.2594604,111.579895,111.8545532,112.1520996,112.6098633,113.1134033,113.3651733,114.1204834,114.5553589,114.8757935,115.4251099,116.1117554,116.4093018,116.8670654,117.2332764,117.6452637,118.1488037,118.6752319,119.1101074,119.682312,120.2087402,120.5749512,121.1242676,121.6278076,122.1084595,122.5891113,123.046875,123.4359741,123.9852905,124.4659424,124.8321533,125.3356934,125.7019043,126.0681152,126.5487671,126.9607544,127.3956299,127.8991699,128.3111572,128.7231445,129.1351318,129.5700073,129.9591064,130.3482056,130.8288574,131.0577393,131.5383911,131.9046021,132.2021484,132.6599121,133.0490112,133.3007813,133.8043213,134.147644,134.4451904,134.7885132,135.1547241,135.383606,135.7955933,136.0244751,136.1618042,136.5509033,136.8484497,137.1231079,137.4664307,137.7639771,137.9928589,138.3590698,138.6566162,138.8168335,139.1143799,139.3661499,140.5334473,140.625,140.8538818,141.0369873,141.3345337,141.6091919,141.8151855,142.0440674,142.2271729,142.364502,142.6391602,142.868042,142.9824829,143.2800293,143.4402466,143.5317993,143.7606812,143.9666748,144.2871094,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
