SampleId,RunId,Well,Type,TargetName,Result,VoltageDifference,Readings,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
LOD_R19,120,2,Target,GeneN_1,NotAmplified,17.2,204.460144,185.0967407,165.7562256,148.0178833,132.8659058,120.2087402,109.6572876,102.104187,96.29058838,91.66717529,87.93640137,84.5489502,81.93969727,79.67376709,77.95715332,76.171875,75.050354,73.6541748,71.8460083,69.94628906,67.68035889,65.8493042,64.24713135,62.7822876,61.6607666,60.79101563,59.9899292,59.28039551,58.70819092,58.38775635,58.04443359,57.79266357,57.472229,57.28912354,57.22045898,57.17468262,57.10601807,57.17468262,57.08312988,57.01446533,57.15179443,57.01446533,56.90002441,56.85424805,57.17468262,57.472229,57.44934082,57.70111084,57.60955811,58.25042725,58.50219727,58.47930908,58.63952637,58.82263184,58.98284912,59.30328369,59.50927734,59.87548828,59.9899292,60.05859375,60.21881104,60.4019165,60.47058105,60.81390381,61.13433838,61.1114502,61.43188477,61.70654297,61.77520752,61.95831299,62.25585938,62.37030029,62.6449585,62.73651123,62.9196167,63.12561035,63.28582764,63.53759766,64.3157959,64.70489502,64.88800049,64.95666504,65.23132324,65.50598145,65.96374512,66.05529785,66.21551514,66.44439697,66.69616699,66.87927246,67.1081543,67.40570068,67.61169434,67.86346436,68.11523438,68.36700439,68.6416626,68.71032715,69.21386719,69.55718994,69.78607178,70.33538818,70.61004639,70.93048096,71.18225098,71.5713501,71.82312012,72.1206665,72.53265381,73.1048584,73.35662842,73.74572754,74.04327393,74.3637085,74.75280762,75.11901855,75.43945313,75.78277588,76.19476318,76.53808594,76.92718506,77.22473145,77.5680542,77.9800415,78.32336426,78.64379883,79.05578613,79.53643799,79.78820801,80.17730713,80.4977417,80.74951172,81.09283447,81.29882813,81.64215088,81.91680908,82.19146729,82.46612549,82.78656006,82.96966553,83.31298828,83.5647583,83.81652832,84.04541016,84.25140381,84.64050293,84.73205566,85.12115479,85.18981934,85.3729248,85.57891846,85.76202393,85.96801758,85.99090576,86.10534668,86.17401123,86.31134033,87.34130859,87.24975586,87.22686768,87.15820313,87.18109131,87.13531494,87.13531494,87.15820313,87.08953857,87.11242676,87.02087402,87.11242676,87.06665039,87.11242676,87.29553223,87.31842041,87.31842041,87.50152588,87.40997314,87.38708496,87.45574951,87.6159668,87.82196045,
LOD_R19,120,3,Target,GeneN_2,Amplified,137.2,255.7067871,230.6900024,207.0922852,183.9752197,166.3513184,153.1906128,143.8980103,136.3449097,130.7144165,126.4343262,123.0926514,120.2316284,118.1030273,116.2719727,114.8300171,113.4796143,112.6098633,111.9232178,111.1907959,110.4125977,109.703064,109.1766357,108.581543,107.7575684,107.0709229,106.0409546,105.3771973,104.4616699,103.5003662,102.7450562,102.0355225,101.5548706,101.1428833,101.0284424,100.8911133,101.0284424,101.1428833,101.6235352,101.9210815,102.4703979,103.0197144,103.5232544,104.3701172,105.0796509,105.6976318,106.5216064,107.1624756,107.8948975,108.581543,109.4512939,110.4125977,110.8703613,111.076355,111.4425659,111.7172241,111.9918823,112.3580933,113.1591797,112.9760742,113.1820679,113.5025024,113.7771606,114.0518188,114.3493652,114.6011353,114.8986816,115.2420044,115.5166626,115.814209,116.065979,116.3635254,116.5924072,116.9128418,117.0501709,117.2790527,117.5537109,117.805481,118.5836792,118.6752319,118.9041138,119.0872192,119.3161011,119.5449829,119.7509766,120.0942993,120.2774048,120.4376221,120.7580566,121.0784912,121.307373,121.5133667,121.7422485,121.9940186,122.2457886,122.543335,122.8179932,123.1842041,123.9852905,124.1912842,124.6032715,125.1068115,125.4501343,125.9536743,126.5945435,127.2583008,128.1051636,129.1351318,130.3253174,131.7901611,133.4152222,134.9945068,137.260437,139.8010254,142.9138184,146.2554932,150.0778198,154.1748047,158.706665,162.9180908,167.8390503,173.0117798,178.4591675,183.9752197,189.4683838,195.0073242,200.2029419,204.8950195,209.2208862,213.4780884,217.4835205,220.9625244,224.3041992,227.3254395,230.6442261,233.3221436,235.6796265,238.0828857,240.1199341,242.0883179,243.9193726,245.8648682,247.3983765,248.9776611,250.3967285,252.1133423,253.8070679,257.2402954,257.8353882,258.5906982,259.3002319,260.2157593,260.9710693,261.9094849,262.7563477,263.420105,264.3814087,265.5487061,266.3497925,267.3110962,267.7230835,268.157959,268.8217163,269.1879272,269.78302,270.3781128,270.4696655,270.9960938,271.2936401,271.3623047,271.8887329,272.1633911,272.5067139,272.9187012,273.3078003,273.6053467,273.8342285,274.269104,275.0701904,275.0473022,275.5279541,
LOD_R19,120,4,Target,GeneM_1,NotAmplified,46.1,432.3348999,378.7536621,332.2677612,293.5409546,264.2211914,239.2272949,229.7973633,214.5996094,203.4759521,194.0917969,187.2024536,181.4575195,176.0787964,171.4782715,167.930603,165.0695801,161.5219116,159.1186523,156.6467285,154.3579102,153.213501,150.1922607,146.8505859,143.0740356,139.8696899,136.0244751,134.7427368,132.774353,131.4926147,130.1193237,129.0435791,128.2196045,127.9449463,127.4414063,127.1438599,126.9607544,126.914978,126.8692017,127.532959,127.6473999,127.8533936,128.4255981,128.7918091,128.8604736,129.6615601,130.027771,130.4626465,130.7830811,131.149292,131.9503784,132.6599121,132.9803467,133.8272095,134.1934204,135.017395,135.6811523,136.8942261,137.6495361,138.381958,139.3890381,140.12146,140.9683228,142.9138184,143.8064575,144.9737549,145.980835,147.102356,148.2467651,149.2538452,150.5584717,151.9317627,153.1219482,154.5410156,155.8227539,157.0587158,158.5693359,160.2401733,161.567688,162.940979,164.2227173,165.5044556,166.6946411,167.8619385,168.7316895,169.7616577,170.4940796,171.1120605,171.7987061,172.2793579,172.668457,173.1262207,173.4924316,173.6984253,174.2477417,174.7741699,175.0946045,175.52948,175.8041382,176.0559082,176.399231,176.6967773,176.7883301,177.1087646,177.4291992,177.4291992,177.7496338,178.0014038,178.2989502,178.6193848,178.9169312,179.3289185,179.6951294,179.9468994,180.3817749,180.7479858,181.1599731,181.5948486,182.0526123,182.5790405,183.0596924,183.4945679,183.8150024,184.2498779,184.8220825,185.1882935,185.5773926,185.8978271,186.3098145,186.4929199,186.7904663,187.0422363,187.2711182,187.5228882,187.7975464,187.9806519,188.2095337,188.4841919,188.6901855,188.8275146,189.0792847,189.2623901,189.5141602,189.5828247,189.8345947,190.0405884,190.1779175,190.4525757,190.5899048,190.7043457,190.7730103,191.0018921,191.116333,191.5969849,191.734314,191.8258667,191.9174194,192.1691895,192.2607422,192.7642822,192.9016113,192.9244995,193.1533813,193.1762695,193.1533813,193.5882568,193.4967041,193.5882568,193.5882568,193.5195923,193.4967041,193.6569214,193.7484741,193.8400269,193.8400269,193.9315796,193.9315796,194.0002441,194.0917969,194.1604614,194.7555542,
LOD_R19,120,5,Target,GeneM_2,NotAmplified,26.3,344.8104858,293.9987183,254.4250488,222.8851318,196.8841553,177.1774292,162.9867554,153.2363892,145.362854,140.5105591,135.5438232,132.1792603,129.0435791,126.411438,124.3515015,122.4060059,120.9640503,119.2932129,117.8283691,116.3635254,114.9902344,112.5869751,109.4512939,106.3156128,103.3630371,100.6851196,99.08294678,97.45788574,96.22192383,95.2835083,94.52819824,93.8873291,93.45245361,93.15490723,92.81158447,92.51403809,92.28515625,92.12493896,91.9418335,91.9418335,91.9418335,91.82739258,91.87316895,92.01049805,92.05627441,92.2164917,92.4911499,92.97180176,93.06335449,93.6126709,93.72711182,93.8873291,94.18487549,94.59686279,94.91729736,95.26062012,95.99304199,96.49658203,96.77124023,97.22900391,97.52655029,98.05297852,98.64807129,99.17449951,99.65515137,100.2502441,100.7080078,101.1428833,101.6921997,102.2644043,102.8366089,103.4088135,104.0496826,104.5761108,105.1483154,105.7662964,106.3613892,107.0022583,107.5973511,108.3526611,108.8104248,109.4284058,110.0463867,110.710144,111.4196777,111.9689941,112.5640869,113.067627,113.6856079,114.2578125,114.6697998,115.0588989,115.4937744,115.9515381,116.3864136,116.8670654,117.4163818,117.7825928,118.1259155,118.4463501,118.8354492,119.2016602,119.5678711,119.8883057,120.2087402,120.5062866,120.803833,121.1013794,121.3531494,121.673584,121.9711304,122.2000122,122.4517822,122.7493286,122.795105,123.2757568,123.3901978,123.5046387,123.6419678,123.8250732,123.8708496,124.0768433,124.168396,124.3515015,124.7177124,124.7634888,124.8779297,125.0152588,125.1068115,125.1754761,125.3128052,125.4730225,125.6103516,125.6790161,125.8392334,125.8392334,125.9307861,126.0223389,126.0910034,126.1138916,126.2283325,126.2283325,126.7776489,126.8463135,126.8234253,126.8920898,126.9378662,126.9378662,126.9836426,126.9836426,127.1209717,127.2354126,127.2354126,127.4185181,127.4185181,127.7160645,127.6931763,127.6702881,127.784729,127.8305054,127.8762817,128.1051636,128.1738281,128.1280518,128.1051636,128.1509399,128.1738281,128.1967163,128.2424927,128.2424927,128.65448,128.5858154,128.6315918,128.6087036,128.5858154,128.7231445,128.7231445,128.65448,128.6315918,128.65448,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
